"Año","Actividad","Sector","Tipo de precios","Código Departamento (DIVIPOLA)","Departamento","Valor (miles de millones de pesos)"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","13","Bolívar","562.7"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","15","Boyacá","445.2"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","17","Caldas","206.04"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","18","Caquetá","1.65"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","85","Casanare","5,825.26"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","19","Cauca","103.13"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","20","Cesar","2,859.02"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","27","Chocó","489.34"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","23","Córdoba","248.74"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","25","Cundinamarca","370.01"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","94","Guainía","27.82"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","95","Guaviare","2.91"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","41","Huila","1,543.64"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","44","La Guajira","2,912.68"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","47","Magdalena","14.51"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","50","Meta","2,494.11"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","52","Nariño","68.39"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","54","Norte de Santander","259.88"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","86","Putumayo","331.07"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","63","Quindío","11.31"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","66","Risaralda","47.47"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","88","San Andrés, Providencia y Santa Catalina (Archipiélago)","0.98"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","68","Santander","681.85"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","70","Sucre","10.61"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","73","Tolima","1,193.39"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","76","Valle del Cauca","137.48"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","97","Vaupés","0.94"
"2,005","Explotación de minas y canteras","Primario","PIB a precios constantes de 2015","99","Vichada","1"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","91","Amazonas","8.82"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","5","Antioquia","15,897.91"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","81","Arauca","117.48"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","8","Atlántico","4,588.05"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","11","Bogotá D.C.","18,034.87"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","13","Bolívar","4,141.56"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","15","Boyacá","2,045.73"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","17","Caldas","1,599.57"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","18","Caquetá","89.31"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","85","Casanare","247.2"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","19","Cauca","1,593.18"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","20","Cesar","396.21"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","27","Chocó","22.84"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","23","Córdoba","1,356.76"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","25","Cundinamarca","6,868.09"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","94","Guainía","7.24"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","95","Guaviare","8.97"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","41","Huila","402.71"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","44","La Guajira","36.08"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","47","Magdalena","346.85"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","50","Meta","591.41"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","52","Nariño","296.9"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","54","Norte de Santander","624.67"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","86","Putumayo","36.25"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","63","Quindío","268.39"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","66","Risaralda","1,286.41"
"2,005","Industrias manufactureras","Secundario","PIB a precios constantes de 2015","88","San Andrés, Providencia y Santa Catalina (Archipiélago)","11.78"
