Año,Actividad,Sector,Tipo de precios,Código Departamento (DIVIPOLA),Departamento,Valor (miles de millones de pesos),Valor_winsorizado,Actividad_abreviada
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,73,Tolima,2299.26,2299.26,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,76,Valle del Cauca,3439.32,3439.32,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,97,Vaupés,7.0,7.0,Agricultura y pesca
2005,"Agricultura, ganadería, caza, silvicultura y pesca",Primario,PIB a precios constantes de 2015,99,Vichada,156.16,156.16,Agricultura y pesca
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,91,Amazonas,1.0,1.0,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,5,Antioquia,2628.17,2628.17,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,81,Arauca,3239.8,3239.8,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,8,Atlántico,35.79,35.79,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,11,Bogotá D.C.,235.69,235.69,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,13,Bolívar,562.7,562.7,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,15,Boyacá,445.2,445.2,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,17,Caldas,206.04,206.04,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,18,Caquetá,1.65,1.65,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,85,Casanare,5825.26,5825.26,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,19,Cauca,103.13,103.13,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,20,Cesar,2859.02,2859.02,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,27,Chocó,489.34,489.34,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,23,Córdoba,248.74,248.74,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,25,Cundinamarca,370.01,370.01,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,94,Guainía,27.82,27.82,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,95,Guaviare,2.91,2.91,Minería
2005,Explotación de minas y canteras,Primario,PIB a precios constantes de 2015,41,Huila,1543.64,1543.64,Minería
